system:index,CO2 emissions (non-biogenic),Industry Type (sectors),Industry Type (subparts),Latitude,Longitude,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Stationary Combustion,Total reported direct emissions,u_component_of_wind_10m_2020_10km,u_component_of_wind_10m_2020_1km,u_component_of_wind_10m_2020_5km,u_component_of_wind_10m_2021_10km,u_component_of_wind_10m_2021_1km,u_component_of_wind_10m_2021_5km,u_component_of_wind_10m_2022_10km,u_component_of_wind_10m_2022_1km,u_component_of_wind_10m_2022_5km,u_component_of_wind_10m_2023_10km,u_component_of_wind_10m_2023_1km,u_component_of_wind_10m_2023_5km,u_component_of_wind_10m_2024_10km,u_component_of_wind_10m_2024_1km,u_component_of_wind_10m_2024_5km,v_component_of_wind_10m_2020_10km,v_component_of_wind_10m_2020_1km,v_component_of_wind_10m_2020_5km,v_component_of_wind_10m_2021_10km,v_component_of_wind_10m_2021_1km,v_component_of_wind_10m_2021_5km,v_component_of_wind_10m_2022_10km,v_component_of_wind_10m_2022_1km,v_component_of_wind_10m_2022_5km,v_component_of_wind_10m_2023_10km,v_component_of_wind_10m_2023_1km,v_component_of_wind_10m_2023_5km,v_component_of_wind_10m_2024_10km,v_component_of_wind_10m_2024_1km,v_component_of_wind_10m_2024_5km,.geo
0,43895.8,"Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2","C,PP,RR (RPT),W-PROC",33.05188,-102.88792,259.25,15.496,27874.396,44170.546,2.1266227359952548,2.1251142422358194,2.1219882088363486,2.09057081158204,2.0843433198474703,2.0838175778666503,2.624091661018929,2.6100052197774253,2.617926872596539,3.850713264844451,3.8459858951114474,3.8424812868879497,0.28878913450267946,0.27872722489493235,0.28925322891633254,-0.007780260761049257,-0.013382803826105027,-0.00623656968140548,-1.1606933916102185,-1.1676229919706071,-1.1596120239115086,0.8180001851621852,0.8084057228905814,0.8198269092036483,0.5167440882717352,0.5170834461847941,0.5169261295689116,0.8111407434557668,0.8065139112018403,0.8089173031141609,"{""type"":""Point"",""coordinates"":[-102.88792,33.05188]}"
1,58078.3,Petroleum and Natural Gas Systems,"C,W-PROC",43.85274,-105.77781,3278.25,32.482,55537.34,61389.032,4.101525972924918,4.200835619653974,4.100470875145552,3.307733515708737,3.4063328334263394,3.2971984599059794,2.8556819603948833,2.9456259182521274,2.8467257664833228,0.91918240252201,0.9587149222691854,0.903469611143137,1.6655873632968476,1.7250337260110038,1.6614241015859494,2.5655629664622532,2.5392120622453236,2.596598531570269,3.353815959680622,3.3549977995100475,3.4011741715592225,2.7148853082946927,2.7253310623623075,2.750027260532627,1.7762307705362592,1.7773925747190202,1.8019593836425185,1.2991012189596953,1.268712804431007,1.3257796979053713,"{""type"":""Point"",""coordinates"":[-105.77781000000002,43.85274]}"
2,38053.6,Petroleum and Natural Gas Systems,"C,W-PROC",35.546399,-100.116256,663.75,21.158,36776.912,38738.508,1.1767211091298289,1.2180649723325456,1.1859757389341081,1.0903861524991554,1.1159479050409227,1.0992189783628297,0.244563742675633,0.28335668927147273,0.2504369417826334,1.416537019439527,1.4319582723435902,1.4236727498826527,-0.015882056239047482,0.006071556182134719,-0.010745186384032372,-0.3831633971198539,-0.3764635097412836,-0.3729284531405183,-1.9742656336813094,-1.9483149562563216,-1.9643656453307796,-0.45589405350365375,-0.42832930315108525,-0.44661088946725236,0.30618248053032643,0.3104678165344965,0.3119728313822325,0.6763246624764016,0.6853620324816022,0.6866381654934007,"{""type"":""Point"",""coordinates"":[-100.11625600000002,35.546398999999994]}"
3,39504.3,"Petroleum and Natural Gas Systems,Suppliers of CO2","C,PP,W-PROC",31.91,-96.2233,231.75,22.052,38867.104,39758.102,0.8794591321771269,0.8900620426450457,0.8842399228702891,1.4403126068269834,1.4652637300037203,1.4494989879385702,0.796588030508828,0.7929043315705799,0.7996201260204622,0.6744616269582191,0.6957434983480544,0.6804136337139906,-0.6193416640388931,-0.6156470775604248,-0.6174820800273205,0.8123523443786329,0.8019277197974068,0.8145016613946423,0.22766763787139152,0.1993872154326666,0.22384291612558577,-0.36108499855980686,-0.40240098748888287,-0.3670546223803394,2.057243040750575,2.0803100551877702,2.066052525560152,-0.5054945919168273,-0.508139757882981,-0.5061622623393089,"{""type"":""Point"",""coordinates"":[-96.22330000000001,31.909999999999993]}"
4,46801,Petroleum and Natural Gas Systems,"C,W-PROC",33.03512,-97.331434,2180.5,6.556,11753.756,48988.056,0.8254122080697591,0.8080278862090338,0.815170697460796,1.2074282153080462,1.1817292712983631,1.1940805382597117,0.40378045803032114,0.3868606885274251,0.39470840229426407,0.8830428244093245,0.8715218419120425,0.87622003453716,-0.27683107541578816,-0.27308871632530574,-0.2771194535688051,0.602728466979852,0.5883889595667521,0.5959466875047611,-0.8463570434663286,-0.8501994893664405,-0.8503338126012854,-0.7704130483504629,-0.7589189608891805,-0.7689888591455637,1.3835030856504584,1.3523611852100916,1.3711272317962835,-0.03038957584307822,-0.022570212682088215,-0.028051414465844478,"{""type"":""Point"",""coordinates"":[-97.33143400000002,33.03511999999999]}"
5,37589.4,Petroleum and Natural Gas Systems,"C,W-PROC",35.60785,-100.10148,4718.75,21.158,37601.908,42329.308,1.1571220981957167,1.1455261423474266,1.1555576250983632,1.0904947122659372,1.0894571940104167,1.0901977819378663,0.21243681431307138,0.19373818806239534,0.2100089701126242,1.4400564377036829,1.4554422753197807,1.441192285116093,-0.05282032693904578,-0.08015077454703196,-0.0557827724187536,-0.33526677352341855,-0.3065622704369681,-0.3321106765533605,-1.9065371322611642,-1.8547015587488809,-1.9008590969049266,-0.4302186564394543,-0.4101640780766805,-0.427754728783148,0.31213259870793814,0.3118977830523536,0.3122307986546923,0.6879221114314836,0.6887727351415724,0.6882555591964998,"{""type"":""Point"",""coordinates"":[-100.10148000000001,35.607850000000006]}"
6,64740.5,Chemicals,C,39.73,-86.26,30.5,36.356,64807.356,64807.356,2.2029193842423993,2.246774747258141,2.2284535758993465,-0.10096459935815844,-0.09920683361235119,-0.10154230096503689,1.856833488612861,1.8818761507670085,1.8719162812779448,1.3415386293189695,1.360919163340614,1.3518479679515734,1.0910640841643098,1.1101742812565394,1.1030431388586412,0.811084528447206,0.8241561424164545,0.8177780311670954,-0.035420396925892904,-0.039428818793523876,-0.03753944069629216,-0.14756053289186552,-0.14848311174483525,-0.1500534493875927,1.3588110133277227,1.3709362177621751,1.3647803862889607,-0.015163092467931124,-0.015525011789231073,-0.014946172111912778,"{""type"":""Point"",""coordinates"":[-86.26,39.73]}"
7,31883.8,Power Plants,"C,D",40.663,-74,14.75,17.582,79,31916.132,2.4314335231685233,2.4992568436123075,2.474604453359331,0.38669304682438455,0.3883332752046131,0.38700476972571696,1.3036813666452123,1.3398258345467704,1.3265248207818892,1.299140414220058,1.317520260810852,1.3059960834907764,0.9451786175799824,0.9630359581538609,0.9545741075045103,0.14505986982771288,0.16200026444026402,0.15973504105687658,-2.0113010230788837,-2.054312677610488,-2.040578974789871,-0.6309185599987275,-0.645009920710609,-0.6403539159081199,0.3989801667522064,0.4310500337964013,0.4218875735353082,-0.9514113812528459,-0.9642176968710763,-0.9577983837623102,"{""type"":""Point"",""coordinates"":[-74.0,40.66299999999999]}"
8,22859.8,Minerals,"C,N",31.671177,-98.996513,10.75,12.814,22833.164,22883.364,1.9280715257037686,1.9096388268092324,1.9202794651964525,2.638384283740244,2.6438739110553073,2.6438034209155963,1.1959490968170818,1.1843721980140323,1.1924215181504676,2.0550029762709063,2.030004953581189,2.04459567682598,-0.18941859826003873,-0.206552645516774,-0.19698421779649083,0.4395498383559666,0.4409454606828236,0.4364661765153214,-1.1713757183398739,-1.1557114483818176,-1.1651351138292938,-0.77319612550623,-0.7670182292423551,-0.7705793801172411,1.5181119432335048,1.5157183900712028,1.5113310187045692,-0.0967494437121111,-0.09770642764984615,-0.09667649759662222,"{""type"":""Point"",""coordinates"":[-98.996513,31.671177]}"
9,77824.5,Other,C,44.951,-92.9959,37.5,46.786,77908.786,77908.786,1.9730745938292873,1.9692403350557601,1.9723993338983528,0.006371386767781995,0.001923188709077381,0.007974982690558864,0.9414298085176973,0.9393578983488537,0.9401080430247797,0.10655443838223437,0.09804423309507825,0.10544874698396714,0.9755223846783327,0.9744483697982061,0.9759804878537617,0.6180511132511917,0.6207131783167521,0.6201257940574929,1.140204478271617,1.1394117457526072,1.1414574633451997,-0.5317424351528541,-0.5300191050484067,-0.5309985610669252,-1.252152253788739,-1.2445806628181821,-1.2506505412904043,0.39304019836396353,0.3944097677866618,0.39461159070332846,"{""type"":""Point"",""coordinates"":[-92.99590000000002,44.951]}"
