system:index,CO2 emissions (non-biogenic),Industry Type (sectors),Industry Type (subparts),LST_2020_10km,LST_2020_1km,LST_2020_5km,LST_2021_10km,LST_2021_1km,LST_2021_5km,LST_2022_10km,LST_2022_1km,LST_2022_5km,LST_2023_10km,LST_2023_1km,LST_2023_5km,LST_2024_10km,LST_2024_1km,LST_2024_5km,Latitude,Longitude,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Stationary Combustion,Total reported direct emissions,.geo
0,43895.8,"Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2","C,PP,RR (RPT),W-PROC",36.32146659923616,37.20206773618541,36.9000052538629,33.40720456720712,34.53197932263819,34.00802260832445,33.649973320652414,35.21672370766492,34.52870385954529,32.21198814568522,33.34326203208559,32.52174399047904,33.71467091126847,33.75277005347598,33.53846097461273,33.05188,-102.88792,259.25,15.496,27874.396,44170.546,"{""type"":""Point"",""coordinates"":[-102.88792,33.05188]}"
1,58078.3,Petroleum and Natural Gas Systems,"C,W-PROC",29.97561435156982,29.83661187214615,29.992240879542056,35.34273598881369,34.318708675799115,35.03116181535925,30.196809638331494,29.63930898021313,29.88809719594431,27.4341016625816,26.958967123287714,27.341637589142785,28.29406541930836,28.55096803652971,28.401993904678744,43.85274,-105.77781,3278.25,32.482,55537.34,61389.032,"{""type"":""Point"",""coordinates"":[-105.77781000000002,43.85274]}"
2,38053.6,Petroleum and Natural Gas Systems,"C,W-PROC",30.93721399038031,30.559713378684833,30.601061574939788,28.943901896203673,29.098244897959212,28.981749674183433,32.50142128664198,32.247606462585054,32.43536875306525,29.85394154194409,29.65817687074835,29.720250644306013,31.12647215656164,31.263066666666692,31.084663219947224,35.546399,-100.116256,663.75,21.158,36776.912,38738.508,"{""type"":""Point"",""coordinates"":[-100.11625600000002,35.546398999999994]}"
3,39504.3,"Petroleum and Natural Gas Systems,Suppliers of CO2","C,PP,W-PROC",25.741951060522673,26.83799462365592,26.570046064368842,24.979499673842138,25.56906881720432,25.51987085971192,28.541455461615303,29.700253584229415,29.52696305471455,26.535231164383564,27.331865591397882,27.168419503318386,26.625412888331716,27.62609677419357,27.181042208765366,31.91,-96.2233,231.75,22.052,38867.104,39758.102,"{""type"":""Point"",""coordinates"":[-96.22330000000001,31.909999999999993]}"
4,46801,Petroleum and Natural Gas Systems,"C,W-PROC",30.29364562855395,29.10402127659578,30.236336455646274,29.963022688678937,29.907819148936202,30.325371463610647,33.96180365283714,33.97129078014186,34.25233820357765,32.14496547022643,31.769521276595768,32.301421970369766,30.629977534282204,31.190867021276606,30.920213352343122,33.03512,-97.331434,2180.5,6.556,11753.756,48988.056,"{""type"":""Point"",""coordinates"":[-97.33143400000002,33.03511999999999]}"
5,37589.4,Petroleum and Natural Gas Systems,"C,W-PROC",31.165312649358672,31.56951687423692,31.369093108827958,29.010620848952566,28.75999829059832,28.970745774658933,32.3695983402156,32.75000854700859,32.40406604438563,30.057783122718135,30.34969025641029,30.3327435555738,31.600479155684454,32.06560239316243,31.780904615462763,35.60785,-100.10148,4718.75,21.158,37601.908,42329.308,"{""type"":""Point"",""coordinates"":[-100.10148000000001,35.607850000000006]}"
6,64740.5,Chemicals,C,27.19968123965772,30.960436046511656,28.42844610143637,24.291070037204765,27.64392248062019,25.53585215064192,25.313624170997585,29.08755038759693,26.446031487155672,26.480650358103233,29.00752067183466,27.822761897374274,26.330654527586333,29.236963824289422,27.32053772511607,39.73,-86.26,30.5,36.356,64807.356,64807.356,"{""type"":""Point"",""coordinates"":[-86.26,39.73]}"
7,31883.8,Power Plants,"C,D",22.08176755502011,21.670220858895714,21.307054561466753,22.363662033837773,20.99600000000002,21.45857731876228,21.33539050563888,20.511950920245432,20.673491753732872,24.196820647702882,23.909852760736214,23.19119070493578,21.641450721837554,21.951288343558332,20.81426824386536,40.663,-74,14.75,17.582,79,31916.132,"{""type"":""Point"",""coordinates"":[-74.0,40.66299999999999]}"
8,22859.8,Minerals,"C,N",31.107812510155487,30.896243329775906,31.02610327610877,29.68917015580404,29.6140270366418,29.863338419170294,36.77671997379762,35.659622198505886,36.142784961169056,32.617984613254315,32.09414621131273,32.53439933578586,30.135197354187994,30.105511205976548,30.081875141017832,31.671177,-98.996513,10.75,12.814,22833.164,22883.364,"{""type"":""Point"",""coordinates"":[-98.996513,31.671177]}"
9,77824.5,Other,C,21.11015466300208,21.653000299760222,21.002121233765497,24.19489843956824,24.04654976019187,23.987610847231682,22.29766823126278,23.497934652278214,22.164536921300456,24.237891648532777,23.98113609112713,23.77495342428252,21.31846223999006,21.574883093525216,21.066569866552403,44.951,-92.9959,37.5,46.786,77908.786,77908.786,"{""type"":""Point"",""coordinates"":[-92.99590000000002,44.951]}"
10,30068,Minerals,"C,N",21.361627296176277,22.455661099512902,21.476471092704184,21.199534090965717,21.738020180932534,21.294144871151307,22.79150335494446,23.434920842032042,22.892200043228502,23.848483179964468,24.57778357689633,24.01279905036818,23.277434969849125,23.946518789144076,23.416230595995124,33.96548,-87.89936,13.75,16.39,29071.94,30098.14,"{""type"":""Point"",""coordinates"":[-87.89936,33.96548]}"
11,35903.6,Other,C,18.75061788260372,21.007985364396706,19.52097401801548,20.321688505394047,22.930337514934305,21.365750591987116,19.803809393796904,22.370570489844724,21.08994669141712,22.001063512882514,24.614032855436125,23.156346904413443,19.86254799952587,21.47686379928319,20.69778480399409,44.95018,-89.63766,17,20.264,35940.864,35940.864,"{""type"":""Point"",""coordinates"":[-89.63766,44.95018000000001]}"
12,35019.1,"Chemicals,Industrial Gas Suppliers","C,L,OO",22.07281785759078,18.930415106117408,21.31771038689023,22.935256047556376,21.868955992509413,22.56583789689263,20.70121494858294,16.9938030586767,19.62631002997582,23.520136956716495,21.76411360799003,22.90692007679396,22.226789645996426,20.81735018726594,21.712203232476366,41.755,-90.284167,17,21.158,35057.258,637396.821,"{""type"":""Point"",""coordinates"":[-90.284167,41.755]}"
13,18687.4,"Chemicals,Industrial Gas Suppliers,Minerals","C,L,N,OO",19.948152088150724,19.75878623188408,19.395318690629658,24.11988938172064,24.115916364734332,23.675212818716215,21.047105636134255,20.645878623188437,20.689575695737286,22.481213088644555,23.146246376811614,22.264266074753,21.241607300613044,21.023719806763307,20.825996174382706,44.789444,-92.908333,8.75,10.728,18266.178,20824.978,"{""type"":""Point"",""coordinates"":[-92.908333,44.789444]}"
14,36527.7,"Chemicals,Industrial Gas Suppliers","C,L,OO",23.125236606494475,22.92570633263747,22.012193601505547,22.401791887125245,22.54914926931109,21.316036572709567,23.81171334854935,23.089156228253344,22.853591888413817,24.31133664206426,24.386466597077263,23.345950309269806,24.49819426791294,24.13497390396662,23.193150020064508,34.641667,-87.038611,17.25,21.158,36566.108,37564.427924,"{""type"":""Point"",""coordinates"":[-87.038611,34.641667]}"
15,32096.1,Minerals,C,24.014637854430784,22.998185567010346,24.17373498887557,25.271191587438192,24.046178006872886,25.076912244023706,26.228994389223484,25.88651890034367,26.312647071016976,26.39011076446831,25.836106529209655,26.505400964581366,26.09971199486111,25.643424398625452,26.219030672739244,34.70537,-92.24607,15,17.88,32128.98,32128.98,"{""type"":""Point"",""coordinates"":[-92.24607,34.70537]}"
16,53897.2,Other,C,22.00581012571538,23.200249332146072,22.158063615140925,24.382887422124476,25.362866132383527,24.651525313677258,22.416254987523764,24.21813891362425,22.933914117773202,21.027285119823944,24.03413178984865,21.706908883012964,21.57119604073565,21.813109231225916,21.69556591135706,44.879677,-94.359598,25.25,30.098,53952.548,53952.548,"{""type"":""Point"",""coordinates"":[-94.359598,44.879677]}"
17,31361.7,Other,C,23.873328396082133,23.84810628742518,23.944659768420795,22.59145804415151,23.16596141051236,22.810826355415724,28.493501769586768,29.152332002661353,28.845881269171034,25.9730416936349,25.825239520958107,26.14593407162493,23.748843559666927,23.623117099135104,23.713300037180186,37.834476,-94.330625,14.75,17.582,31394.032,31394.032,"{""type"":""Point"",""coordinates"":[-94.330625,37.834476]}"
18,27022.8,Minerals,C,21.38463029241445,21.264075025693742,21.39181112795927,22.699075123262077,22.62573312778351,22.699723959400597,21.86340333319677,21.730799931483407,21.917614373727883,21.20220371527495,21.200423090099374,21.290153593431985,20.413539896268684,20.540383693045584,20.427577435351036,35.660546,-79.176782,12.75,15.198,27050.748,27050.748,"{""type"":""Point"",""coordinates"":[-79.176782,35.660546]}"
19,39224.1,Power Plants,"C,D",23.060909084877782,26.81554889298896,24.382511047336944,22.1786949538939,25.67332103321036,23.48877744862064,25.036185868222635,28.486605166051685,26.35939678454608,23.524239929520565,26.85064729397298,24.813247859743797,22.192900673011092,24.491906519065225,23.282433061778704,42.7553,-86.0853,18,21.456,101.6,39263.556,"{""type"":""Point"",""coordinates"":[-86.0853,42.75529999999999]}"
20,174480.5,Power Plants,C,21.246289196198777,,20.445220321637457,22.08858837330084,,21.742281754386,21.22300232579149,,20.771229824561416,23.587515422481175,,23.083879532163774,21.53619721808248,,20.981175321637448,40.7711,-73.9911,84.75,106.088,174671.338,174671.338,"{""type"":""Point"",""coordinates"":[-73.9911,40.7711]}"
21,25078.1,Other,C,32.86700292637721,33.86197382769904,33.49209002992486,30.60234139181713,32.207644492911705,31.160585723669843,33.062762220908674,34.41952744456564,33.77007101671414,34.24710861529821,35.3839912758997,35.02723974892345,32.512018578116454,33.2076481279535,32.930665936792956,29.75579,-95.29791,11.75,14.006,25103.856,25103.856,"{""type"":""Point"",""coordinates"":[-95.29791000000002,29.75579]}"
22,250942.1,Power Plants,C,21.238512293671384,18.680000000000007,20.168363764928948,22.03019249831631,17.510000000000048,20.48076214270366,20.94459737201565,17.600000000000023,19.95518032720828,23.84133705880122,20.555000000000007,22.743419165054835,21.566791093973812,19.730000000000018,20.649678500429857,40.768,-73.9515,106.25,127.246,251175.596,251175.596,"{""type"":""Point"",""coordinates"":[-73.9515,40.768]}"
23,106435.2,Power Plants,C,19.52639740456302,19.639627947598296,19.982741854679922,20.338745722843758,21.137893740902502,20.89137596885836,20.75601391231864,21.983576710334823,21.336043435948824,20.38710537206395,20.927326263256425,20.623846402535065,19.163686084557472,20.39453275109173,19.585195699099902,46.793722,-88.616566,50.25,59.898,106545.348,106545.348,"{""type"":""Point"",""coordinates"":[-88.616566,46.793721999999995]}"
24,53400.4,Other,C,20.663145049316164,22.707734475471053,21.95481148720684,20.283459007425513,22.218114888259397,21.266219496268686,20.752290398130143,22.993925086559674,21.63926884328362,22.552293754992625,23.940587031791026,23.21490559701498,21.61316000911153,22.709126534466495,22.15205476545845,42.30227,-87.89065,25.25,30.098,53455.748,53455.748,"{""type"":""Point"",""coordinates"":[-87.89065,42.30227000000001]}"
25,61626.2,Chemicals,C,28.478832981024727,30.23598927294403,29.00132421806469,28.74753991596641,30.661374084794865,29.226061910002553,27.82198022784628,29.57838140643626,28.337543853772956,28.660634914184858,30.01039928486297,29.125689897443277,28.093955034943978,29.773917361938853,28.550454193524907,18.433237,-66.570509,31.25,42.018,61699.468,61699.468,"{""type"":""Point"",""coordinates"":[-66.570509,18.433237]}"
26,159635,Metals,"C,Q",24.072851484819214,24.10068029016281,24.488095288134193,23.355444243130847,23.778349256900253,23.702734717610348,25.377838731539185,25.86372080679408,25.848180390343735,25.97419978363166,26.058009554140153,26.489037906491287,25.364662059210765,25.648017515923602,25.81714580443587,33.580769,-86.781281,47.5,96.254,146607.342,159778.754,"{""type"":""Point"",""coordinates"":[-86.781281,33.58076899999999]}"
27,197724,Other,C,22.734188122027312,22.37860205580033,22.414763356469685,27.440714140395578,26.722098384728373,27.161493353150057,24.558464135551617,25.003766519823824,24.619909049624333,18.850086906910104,18.635136563876678,18.6871826674688,23.918549518089474,24.377791189427338,23.858339091296692,45.442417,-98.787139,93.25,111.154,197928.404,197928.404,"{""type"":""Point"",""coordinates"":[-98.78713900000001,45.442417]}"
28,4779.2,Other,C,20.016308814316357,20.96783895131088,20.406393760294577,21.29621678121054,22.570426966292167,22.063963965055095,20.575537026090345,20.915348314606796,20.727625149371868,20.972890647104023,21.574516853932625,21.24434768917744,20.789516074026945,21.626724719101148,21.10986917449862,39.481881,-76.137166,2.25,2.682,4784.132,4784.132,"{""type"":""Point"",""coordinates"":[-76.137166,39.481881]}"
